complaint,category
Drain water entering road near Ekta Nagar Residents are facing daily trouble because of this.,Drainage
Dangerous spot near Kurla,Public Safety
Uncovered pit near Sion,Public Safety
Transformer sparking in Bandra This issue is causing inconvenience to people.,Electricity
Broken street lamp near Bandra,Street Light
Electric pole damaged near Navi Mumbai This issue is causing inconvenience to people.,Electricity
Power supply problem in Kandivali West,Electricity
Blocked gutter causing smell in Malad West,Drainage
Continuous drilling noise in Mulund,Noise Complaint
Bad road condition near Chembur The situation becomes worse during evening time.,Road Issue
Noise pollution in Mahada Kandivali,Noise Complaint
Dirty water coming from taps in Sion,Water Issue
Power supply problem in Vasai This issue is causing inconvenience to people.,Electricity
No parking rule violation near Vasai,Illegal Parking
Road blocked due to illegal parking near Vasai,Illegal Parking
Noise disturbance reported in Borivali station This issue is causing inconvenience to people.,Noise Complaint
Dustbin overflowing near Powai,Garbage
Noise disturbance reported in Thane,Noise Complaint
Accident risk due to broken road near Mahada Kandivali,Public Safety
Long vehicle queue near Malad West,Traffic
Open drain causing danger near Mulund,Drainage
Road repair needed urgently in Ekta Nagar,Road Issue
Traffic signal not working at Goregaon,Traffic
Severe drainage problem in Ekta Nagar The situation becomes worse during evening time.,Drainage
Trash scattered near Ekta Nagar,Garbage
Unclean surroundings in Charkop,Garbage
Huge pothole near Dadar,Road Issue
Cars blocking road near Borivali station,Illegal Parking
No parking rule violation near Kurla,Illegal Parking
No parking rule violation near Mulund,Illegal Parking
Road blocked causing traffic near Kurla,Traffic
Bad road condition near Mahada Kandivali This is affecting daily life in the area.,Road Issue
Street electric wire issue in Thane This issue is causing inconvenience to people.,Electricity
Street light damaged near Thane Kindly take urgent action.,Street Light
Long vehicle queue near Goregaon,Traffic
Road damaged after rain in Andheri East,Road Issue
Power outage in Thane This is affecting daily life in the area.,Electricity
Drain cover broken near Bandra This is affecting daily life in the area.,Drainage
Parking issue near market in Navi Mumbai,Illegal Parking
Pipeline burst near Mahada Kandivali,Water Issue
Road blocked causing traffic near Powai,Traffic
Low water pressure in Chembur Please resolve this issue quickly.,Water Issue
Frequent traffic jam in Mahada Kandivali Residents are facing daily trouble because of this.,Traffic
Illegal parking near Chembur,Illegal Parking
Garbage pile causing bad smell near Navi Mumbai The situation becomes worse during evening time.,Garbage
Trash scattered near Bandra,Garbage
Vehicles parked on footpath in Mulund This is affecting daily life in the area.,Illegal Parking
Power outage in Dahisar,Electricity
Street light damaged near Charkop This is affecting daily life in the area.,Street Light
Factory noise issue near Andheri East,Noise Complaint
Open drain causing danger near Mira Road,Drainage
Factory noise issue near Thane,Noise Complaint
Dustbin overflowing near Borivali station,Garbage
Drain cover broken near Sion Residents are facing daily trouble because of this.,Drainage
Pipeline burst near Kurla,Water Issue
Major water leakage near Malad West Kindly take urgent action.,Water Issue
Frequent power cuts in Kurla,Electricity
Water leakage near Borivali station,Water Issue
Waste dumped on roadside in Vasai This is affecting daily life in the area.,Garbage
Vehicle horn noise near Navi Mumbai,Noise Complaint
Dead animal lying near Charkop People are complaining about this repeatedly.,Garbage
Major water leakage near Borivali station ,Water Issue
Drain overflowing after rain in Malad West Residents are facing daily trouble because of this.,Drainage
Garbage vehicle not arrived in Dadar Please resolve this issue quickly.,Garbage
Frequent power cuts in Andheri East,Electricity
Electric pole damaged near Mulund,Electricity
Power outage in Thane,Electricity
Late night event noise in Charkop Kindly take urgent action.,Noise Complaint
Pipeline burst near Borivali station,Water Issue
Drain water entering road near Goregaon,Drainage
Road damaged after rain in Sion,Road Issue
Street light not working near Goregaon The situation becomes worse during evening time.,Street Light
Severe drainage problem in Mulund It is creating safety problems for citizens.,Drainage
Unsafe construction site near Powai,Public Safety
Garbage pile causing bad smell near Dahisar,Garbage
Garbage pile causing bad smell near Bandra,Garbage
Voltage fluctuation in Powai,Electricity
No water supply in Mira Road since morning People are complaining about this repeatedly.,Water Issue
Drainage blocked near Powai,Drainage
Traffic congestion during evening near Mahada Kandivali,Traffic
Electric box open near Kandivali West,Electricity
Pipeline burst near Thane This is affecting daily life in the area.,Water Issue
Waste lying near school in Vasai This issue is causing inconvenience to people.,Garbage
Water supply stopped in Dadar,Water Issue
Traffic congestion during evening near Dadar Kindly take urgent action.,Traffic
Drain water entering road near Dahisar It is creating safety problems for citizens.,Drainage
Two wheelers parked wrongly in Mahada Kandivali,Illegal Parking
Risky area without warning sign near Ekta Nagar,Public Safety
Open manhole causing danger in Andheri East,Public Safety
Road blocked causing traffic near Mira Road The situation becomes worse during evening time.,Traffic
Vehicles stuck near Chembur,Traffic
Street lamp off since yesterday near Mahada Kandivali People are complaining about this repeatedly.,Street Light
Drain overflowing after rain in Malad West,Drainage
Dead animal lying near Navi Mumbai Residents are facing daily trouble because of this.,Garbage
Risky area without warning sign near Bandra This problem is happening for many days.,Public Safety
Dark road causing safety issue near Mulund Please resolve this issue quickly.,Street Light
Unsafe construction site near Malad West,Public Safety
Water tank overflowing in Goregaon,Water Issue
Low water pressure in Navi Mumbai It is creating safety problems for citizens.,Water Issue
Loud music at night in Dahisar,Noise Complaint
Unsafe construction site near Navi Mumbai,Public Safety
Traffic movement very slow near Ekta Nagar It is creating safety problems for citizens.,Traffic
Illegal parking causing traffic near Charkop The situation becomes worse during evening time.,Illegal Parking
Dustbin overflowing near Ekta Nagar,Garbage
Power outage in Goregaon,Electricity
Electric pole leaning near Mahada Kandivali,Electricity
Rainwater not draining near Ekta Nagar People are complaining about this repeatedly.,Drainage
Parking issue near market in Kurla,Illegal Parking
Bad road condition near Borivali station,Road Issue
Illegal parking causing traffic near Navi Mumbai,Illegal Parking
Drainage line choked in Goregaon,Drainage
Factory noise issue near Dahisar,Noise Complaint
Vehicles parked on footpath in Mulund,Illegal Parking
High volume sound system near Dahisar,Noise Complaint
Low water pressure in Vasai,Water Issue
Street light not working near Goregaon,Street Light
Road surface cracked near Mira Road Kindly take urgent action.,Road Issue
Two wheelers parked wrongly in Charkop ,Illegal Parking
Waterlogging due to drainage issue near Vasai,Drainage
Trash scattered near Chembur,Garbage
Continuous drilling noise in Mira Road,Noise Complaint
Street light damaged near Mulund,Street Light
Risky area without warning sign near Kurla,Public Safety
Dead animal lying near Bandra It is creating safety problems for citizens.,Garbage
Garbage attracting stray dogs in Ekta Nagar,Garbage
Drain cover broken near Ekta Nagar,Drainage
Drainage blocked near Mulund,Drainage
Street lamp off since yesterday near Thane It is creating safety problems for citizens.,Street Light
Construction noise disturbing residents in Dadar,Noise Complaint
Loud music at night in Bandra This issue is causing inconvenience to people.,Noise Complaint
Drainage line choked in Sion Please resolve this issue quickly.,Drainage
Vehicle horn noise near Kandivali West,Noise Complaint
Unclean surroundings in Charkop,Garbage
Illegal parking causing traffic near Mira Road,Illegal Parking
Rainwater not draining near Mulund,Drainage
Water tank overflowing in Dahisar,Water Issue
Road surface cracked near Kurla,Road Issue
Garbage not collected in Sion ,Garbage
Water leakage near Dadar,Water Issue
No water supply in Borivali station since morning Residents are facing daily trouble because of this.,Water Issue
Dirty water coming from taps in Chembur,Water Issue
Dead animal lying near Kurla,Garbage
Broken railing near Mira Road This issue is causing inconvenience to people.,Public Safety
Garbage pile causing bad smell near Chembur The situation becomes worse during evening time.,Garbage
Loudspeaker noise late night near Mira Road ,Noise Complaint
Parking issue near market in Malad West,Illegal Parking
Construction noise disturbing residents in Charkop,Noise Complaint
Dustbin overflowing near Sion,Garbage
Loudspeaker noise late night near Goregaon,Noise Complaint
Traffic congestion during evening near Mira Road Residents are facing daily trouble because of this.,Traffic
Electric box open near Kandivali West,Electricity
Uneven road surface near Powai,Road Issue
Cars blocking road near Borivali station,Illegal Parking
Street lamp off since yesterday near Mahada Kandivali,Street Light
Parking issue near market in Mahada Kandivali,Illegal Parking
Street lamp off since yesterday near Charkop,Street Light
Heavy traffic jam near Andheri East Please resolve this issue quickly.,Traffic
Voltage fluctuation in Borivali station,Electricity
Water leakage near Borivali station This problem is happening for many days.,Water Issue
Noise pollution in Mulund Residents are facing daily trouble because of this.,Noise Complaint
Drain cover broken near Dahisar,Drainage
Open manhole causing danger in Bandra,Public Safety
Open electric wire hanging near Powai,Electricity
Street electric wire issue in Mulund,Electricity
Noise pollution in Kandivali West,Noise Complaint
Power supply problem in Goregaon,Electricity
Dead animal lying near Navi Mumbai,Garbage
Transformer sparking in Navi Mumbai,Electricity
Road blocked causing traffic near Dadar,Traffic
Traffic signal not working at Mira Road,Traffic
Heavy traffic jam near Ekta Nagar,Traffic
Dark road causing safety issue near Kandivali West,Street Light
Potholes filled with rainwater near Charkop,Road Issue
Vehicles parked on footpath in Navi Mumbai,Illegal Parking
Pole light not functioning at Mira Road,Street Light
Vehicles stuck near Mira Road This issue is causing inconvenience to people.,Traffic
Unclean surroundings in Malad West It is creating safety problems for citizens.,Garbage
Dustbin overflowing near Kandivali West,Garbage
Noise pollution in Mulund,Noise Complaint
Open electric wire hanging near Malad West,Electricity
No lighting in Thane at night,Street Light
Open electric wire hanging near Thane,Electricity
Long vehicle queue near Vasai,Traffic
Open drain causing danger near Mira Road,Drainage
Continuous drilling noise in Sion Kindly take urgent action.,Noise Complaint
Bad road condition near Charkop,Road Issue
Vehicles stuck near Thane,Traffic
Traffic movement very slow near Dahisar,Traffic
Two wheelers parked wrongly in Thane ,Illegal Parking
Public safety issue reported in Borivali station,Public Safety
Road blocked due to illegal parking near Dadar It is creating safety problems for citizens.,Illegal Parking
Noise disturbance reported in Borivali station,Noise Complaint
Electric box open near Powai,Electricity
Road cave-in reported at Charkop Kindly take urgent action.,Road Issue
Garbage vehicle not arrived in Mahada Kandivali,Garbage
Street light not working near Dahisar,Street Light
Improper traffic management at Ekta Nagar,Traffic
Garbage not collected in Chembur,Garbage
Open electric wire hanging near Malad West,Electricity
Dirty water coming from taps in Bandra It is creating safety problems for citizens.,Water Issue
No water supply in Vasai since morning,Water Issue
Drain cover broken near Charkop,Drainage
Frequent power cuts in Chembur,Electricity
Drain cover broken near Mulund ,Drainage
High volume sound system near Mulund This issue is causing inconvenience to people.,Noise Complaint
Rainwater not draining near Bandra People are complaining about this repeatedly.,Drainage
Potholes filled with rainwater near Sion,Road Issue
No parking rule violation near Dahisar Please resolve this issue quickly.,Illegal Parking
Light pole issue reported at Andheri East,Street Light
Vehicle horn noise near Mulund Kindly take urgent action.,Noise Complaint
Low water pressure in Thane,Water Issue
Uneven road surface near Charkop,Road Issue
Road blocked due to illegal parking near Mulund,Illegal Parking
Continuous drilling noise in Dahisar It is creating safety problems for citizens.,Noise Complaint
Power supply problem in Navi Mumbai,Electricity
Long vehicle queue near Mulund,Traffic
Open electric wire hanging near Mira Road,Electricity
Waste lying near school in Thane,Garbage
Two wheelers parked wrongly in Sion,Illegal Parking
Accident risk due to broken road near Goregaon,Public Safety
Traffic movement very slow near Mira Road,Traffic
Uncovered pit near Navi Mumbai,Public Safety
Illegal parking near Navi Mumbai This is affecting daily life in the area.,Illegal Parking
Pipeline burst near Bandra,Water Issue
Noise disturbance reported in Bandra This is affecting daily life in the area.,Noise Complaint
Contaminated water reported in Powai,Water Issue
Waterlogging due to drainage issue near Mira Road,Drainage
Traffic movement very slow near Kurla,Traffic
Illegal parking causing traffic near Bandra,Illegal Parking
Open drain causing danger near Ekta Nagar The situation becomes worse during evening time.,Drainage
Road blocked causing traffic near Malad West,Traffic
Two wheelers parked wrongly in Mira Road,Illegal Parking
Entire lane is dark in Ekta Nagar Kindly take urgent action.,Street Light
Waterlogging due to drainage issue near Kandivali West It is creating safety problems for citizens.,Drainage
Low water pressure in Charkop This problem is happening for many days.,Water Issue
Major water leakage near Sion,Water Issue
Garbage attracting stray dogs in Thane,Garbage
Cars blocking road near Navi Mumbai This issue is causing inconvenience to people.,Illegal Parking
Road repair needed urgently in Goregaon,Road Issue
Traffic congestion during evening near Sion The situation becomes worse during evening time.,Traffic
Drinking water smells bad in Vasai This is affecting daily life in the area.,Water Issue
Garbage vehicle not arrived in Kandivali West,Garbage
Waterlogging due to drainage issue near Kandivali West,Drainage
Pedestrian safety concern in Chembur This problem is happening for many days.,Public Safety
Road blocked causing traffic near Mira Road The situation becomes worse during evening time.,Traffic
Road damaged after rain in Kandivali West The situation becomes worse during evening time.,Road Issue
Entire lane is dark in Dahisar It is creating safety problems for citizens.,Street Light
Pipeline burst near Navi Mumbai,Water Issue
Contaminated water reported in Mulund The situation becomes worse during evening time.,Water Issue
Waste lying near school in Kandivali West,Garbage
Water leakage near Mahada Kandivali,Water Issue
Cars blocking road near Navi Mumbai,Illegal Parking
Risky area without warning sign near Thane,Public Safety
Late night event noise in Thane,Noise Complaint
Traffic signal not working at Sion,Traffic
Traffic movement very slow near Goregaon,Traffic
Drain water entering road near Ekta Nagar,Drainage
Cars blocking road near Dahisar,Illegal Parking
Vehicles parked on footpath in Andheri East,Illegal Parking
Water supply stopped in Mira Road,Water Issue
Accident risk due to broken road near Navi Mumbai,Public Safety
Street light damaged near Malad West,Street Light
Pipeline burst near Mira Road,Water Issue
Trash scattered near Malad West Kindly take urgent action.,Garbage
Frequent traffic jam in Chembur Please resolve this issue quickly.,Traffic
Loud music at night in Borivali station,Noise Complaint
Uncovered pit near Borivali station,Public Safety
Improper traffic management at Dadar,Traffic
Street electric wire issue in Navi Mumbai,Electricity
Traffic signal not working at Borivali station This problem is happening for many days.,Traffic
Light pole issue reported at Navi Mumbai People are complaining about this repeatedly.,Street Light
Potholes filled with rainwater near Thane Residents are facing daily trouble because of this.,Road Issue
Illegal parking near Ekta Nagar It is creating safety problems for citizens.,Illegal Parking
Garbage pile causing bad smell near Kandivali West,Garbage
Waterlogging due to drainage issue near Mulund,Drainage
Drinking water smells bad in Kurla ,Water Issue
Huge pothole near Mira Road People are complaining about this repeatedly.,Road Issue
Frequent power cuts in Andheri East Residents are facing daily trouble because of this.,Electricity
Drinking water smells bad in Borivali station It is creating safety problems for citizens.,Water Issue
Unsafe construction site near Thane,Public Safety
Rainwater not draining near Chembur Please resolve this issue quickly.,Drainage
Risky area without warning sign near Goregaon,Public Safety
Garbage vehicle not arrived in Malad West ,Garbage
Garbage pile causing bad smell near Ekta Nagar Residents are facing daily trouble because of this.,Garbage
Garbage vehicle not arrived in Vasai,Garbage
Accident risk due to broken road near Kurla,Public Safety
Heavy traffic jam near Goregaon,Traffic
No lighting in Sion at night,Street Light
Unclean surroundings in Andheri East Kindly take urgent action.,Garbage
Illegal parking near Kandivali West,Illegal Parking
Cars blocking road near Thane,Illegal Parking
Damaged public structure near Dadar People are complaining about this repeatedly.,Public Safety
Drain cover broken near Goregaon,Drainage
Dark road causing safety issue near Andheri East,Street Light
Long vehicle queue near Navi Mumbai,Traffic
No lighting in Kandivali West at night,Street Light
Road blocked due to illegal parking near Kandivali West,Illegal Parking
Street lamp off since yesterday near Ekta Nagar,Street Light
Water supply stopped in Charkop,Water Issue
Broken road causing accidents near Dadar,Road Issue
Severe drainage problem in Bandra,Drainage
Pole light not functioning at Navi Mumbai,Street Light
Street light flickering near Powai,Street Light
Street light not working near Ekta Nagar,Street Light
Dangerous spot near Kandivali West People are complaining about this repeatedly.,Public Safety
Two wheelers parked wrongly in Kandivali West,Illegal Parking
Traffic congestion during evening near Vasai,Traffic
Drain water entering road near Charkop,Drainage
Illegal parking causing traffic near Mulund,Illegal Parking
Drainage blocked near Navi Mumbai,Drainage
Severe drainage problem in Bandra,Drainage
Drain cover broken near Dadar It is creating safety problems for citizens.,Drainage
Blocked gutter causing smell in Goregaon This problem is happening for many days.,Drainage
Pedestrian safety concern in Kurla,Public Safety
Street light flickering near Charkop This issue is causing inconvenience to people.,Street Light
Light pole issue reported at Kurla,Street Light
Waste lying near school in Kurla,Garbage
Vehicles stuck near Charkop,Traffic
Risky area without warning sign near Chembur,Public Safety
Garbage vehicle not arrived in Mulund Kindly take urgent action.,Garbage
Pipeline burst near Vasai,Water Issue
Road damaged after rain in Mira Road People are complaining about this repeatedly.,Road Issue
Signal timing issue at Mulund,Traffic
Frequent power cuts in Navi Mumbai,Electricity
Damaged public structure near Dahisar,Public Safety
Drain cover broken near Kurla This problem is happening for many days.,Drainage
Vehicles stuck near Thane The situation becomes worse during evening time.,Traffic
Dark road causing safety issue near Chembur,Street Light
Unsafe construction site near Mahada Kandivali,Public Safety
Road repair needed urgently in Andheri East This problem is happening for many days.,Road Issue
Open manhole causing danger in Ekta Nagar This issue is causing inconvenience to people.,Public Safety
Signal timing issue at Dahisar,Traffic
Broken railing near Ekta Nagar,Public Safety
Electric pole leaning near Thane,Electricity
Water supply stopped in Vasai This problem is happening for many days.,Water Issue
Vehicles stuck near Goregaon,Traffic
Dangerous spot near Charkop It is creating safety problems for citizens.,Public Safety
Drainage line choked in Goregaon,Drainage
Vehicle horn noise near Navi Mumbai The situation becomes worse during evening time.,Noise Complaint
Open drain causing danger near Mahada Kandivali,Drainage
Dark road causing safety issue near Borivali station,Street Light
Dark road causing safety issue near Mahada Kandivali,Street Light
Huge pothole near Bandra This is affecting daily life in the area.,Road Issue
Broken road causing accidents near Mahada Kandivali,Road Issue
Frequent traffic jam in Powai,Traffic
Street light damaged near Mahada Kandivali,Street Light
Drain overflowing after rain in Navi Mumbai,Drainage
No parking rule violation near Dahisar The situation becomes worse during evening time.,Illegal Parking
Dirty water coming from taps in Dahisar People are complaining about this repeatedly.,Water Issue
Road blocked due to illegal parking near Powai This problem is happening for many days.,Illegal Parking
Road repair needed urgently in Kandivali West This problem is happening for many days.,Road Issue
Waste lying near school in Vasai,Garbage
Vehicle horn noise near Goregaon,Noise Complaint
Major water leakage near Ekta Nagar This issue is causing inconvenience to people.,Water Issue
Unclean surroundings in Navi Mumbai,Garbage
Road surface cracked near Mira Road,Road Issue
Traffic congestion during evening near Charkop ,Traffic
No lighting in Chembur at night This is affecting daily life in the area.,Street Light
Improper traffic management at Bandra,Traffic
Road repair needed urgently in Goregaon,Road Issue
Broken street lamp near Chembur,Street Light
Rainwater not draining near Ekta Nagar,Drainage
Potholes filled with rainwater near Dadar,Road Issue
Street lamp off since yesterday near Mahada Kandivali,Street Light
Main road damaged in Dahisar,Road Issue
No water supply in Bandra since morning,Water Issue
Damaged public structure near Mira Road,Public Safety
Road damaged after rain in Goregaon ,Road Issue
Frequent traffic jam in Charkop,Traffic
Factory noise issue near Bandra,Noise Complaint
Road damaged after rain in Mulund People are complaining about this repeatedly.,Road Issue
Open manhole causing danger in Mira Road,Public Safety
Main road damaged in Kurla,Road Issue
Road cave-in reported at Malad West,Road Issue
Contaminated water reported in Mahada Kandivali It is creating safety problems for citizens.,Water Issue
Uncovered pit near Mulund This issue is causing inconvenience to people.,Public Safety
Pole light not functioning at Thane The situation becomes worse during evening time.,Street Light
Water supply stopped in Goregaon,Water Issue
Illegal parking causing traffic near Dadar,Illegal Parking
High volume sound system near Ekta Nagar,Noise Complaint
Dustbin overflowing near Sion,Garbage
Broken road causing accidents near Dadar People are complaining about this repeatedly.,Road Issue
Damaged public structure near Vasai,Public Safety
Trash scattered near Borivali station,Garbage
Unclean surroundings in Ekta Nagar,Garbage
Unauthorized parking in Navi Mumbai,Illegal Parking
Rainwater not draining near Borivali station This issue is causing inconvenience to people.,Drainage
Road damaged after rain in Powai,Road Issue
Two wheelers parked wrongly in Vasai ,Illegal Parking
Open manhole causing danger in Sion,Public Safety
Road damaged after rain in Kurla,Road Issue
Drinking water smells bad in Bandra,Water Issue
Open electric wire hanging near Mulund The situation becomes worse during evening time.,Electricity
Main road damaged in Bandra,Road Issue
Waterlogging due to drainage issue near Ekta Nagar,Drainage
Low water pressure in Vasai,Water Issue
Light pole issue reported at Vasai,Street Light
Street light damaged near Mulund It is creating safety problems for citizens.,Street Light
Dangerous spot near Dahisar This problem is happening for many days.,Public Safety
Parking issue near market in Mira Road,Illegal Parking
Low water pressure in Bandra This issue is causing inconvenience to people.,Water Issue
Broken street lamp near Dadar,Street Light
Drain overflowing after rain in Vasai People are complaining about this repeatedly.,Drainage
Rainwater not draining near Andheri East,Drainage
Frequent power cuts in Mahada Kandivali This issue is causing inconvenience to people.,Electricity
Frequent power cuts in Kandivali West,Electricity
Vehicles blocking society gate in Navi Mumbai,Illegal Parking
Long vehicle queue near Chembur,Traffic
Pipeline burst near Dahisar It is creating safety problems for citizens.,Water Issue
Drainage line choked in Powai,Drainage
Drainage line choked in Kurla,Drainage
Vehicles parked on footpath in Vasai,Illegal Parking
Pedestrian safety concern in Dadar This issue is causing inconvenience to people.,Public Safety
Garbage attracting stray dogs in Dadar,Garbage
Loud music at night in Ekta Nagar,Noise Complaint
Accident risk due to broken road near Dadar,Public Safety
Frequent power cuts in Kandivali West,Electricity
Noise pollution in Navi Mumbai,Noise Complaint
Waterlogging due to drainage issue near Kandivali West ,Drainage
Street light not working near Bandra,Street Light
Water supply stopped in Navi Mumbai This issue is causing inconvenience to people.,Water Issue
Accident risk due to broken road near Powai The situation becomes worse during evening time.,Public Safety
Entire lane is dark in Chembur,Street Light
Waterlogging due to drainage issue near Powai,Drainage
Pole light not functioning at Chembur This is affecting daily life in the area.,Street Light
Traffic signal not working at Bandra,Traffic
Contaminated water reported in Dadar,Water Issue
Water tank overflowing in Sion,Water Issue
Open electric wire hanging near Kurla,Electricity
Trash scattered near Goregaon ,Garbage
Garbage vehicle not arrived in Goregaon,Garbage
Traffic congestion during evening near Powai This issue is causing inconvenience to people.,Traffic
Traffic movement very slow near Navi Mumbai The situation becomes worse during evening time.,Traffic
Street light flickering near Vasai,Street Light
Garbage pile causing bad smell near Vasai It is creating safety problems for citizens.,Garbage
Low water pressure in Sion The situation becomes worse during evening time.,Water Issue
Broken road causing accidents near Charkop,Road Issue
Traffic signal not working at Dadar,Traffic
Late night event noise in Borivali station This problem is happening for many days.,Noise Complaint
Power supply problem in Andheri East Kindly take urgent action.,Electricity
Dustbin overflowing near Andheri East,Garbage
Blocked gutter causing smell in Borivali station This is affecting daily life in the area.,Drainage
Parking issue near market in Mahada Kandivali,Illegal Parking
Voltage fluctuation in Kurla,Electricity
Blocked gutter causing smell in Malad West People are complaining about this repeatedly.,Drainage
Drain cover broken near Mira Road,Drainage
Street electric wire issue in Chembur Residents are facing daily trouble because of this.,Electricity
Huge pothole near Powai,Road Issue
Open electric wire hanging near Charkop,Electricity
Electric box open near Charkop,Electricity
Drain cover broken near Vasai,Drainage
Vehicle horn noise near Borivali station,Noise Complaint
Improper traffic management at Charkop Residents are facing daily trouble because of this.,Traffic
Potholes filled with rainwater near Mahada Kandivali ,Road Issue
Dead animal lying near Navi Mumbai Residents are facing daily trouble because of this.,Garbage
Voltage fluctuation in Sion,Electricity
Loud music at night in Andheri East,Noise Complaint
Electric pole leaning near Malad West People are complaining about this repeatedly.,Electricity
Traffic movement very slow near Malad West Kindly take urgent action.,Traffic
Entire lane is dark in Charkop It is creating safety problems for citizens.,Street Light
Low water pressure in Kandivali West,Water Issue
Road surface cracked near Kurla,Road Issue
Blocked gutter causing smell in Mahada Kandivali,Drainage
Vehicles parked on footpath in Kandivali West,Illegal Parking
Signal timing issue at Andheri East Kindly take urgent action.,Traffic
Huge pothole near Kandivali West,Road Issue
Potholes filled with rainwater near Powai,Road Issue
Street lamp off since yesterday near Navi Mumbai,Street Light
Waterlogging due to drainage issue near Navi Mumbai,Drainage
Entire lane is dark in Mulund ,Street Light
Street lamp off since yesterday near Dadar Kindly take urgent action.,Street Light
No water supply in Navi Mumbai since morning,Water Issue
Vehicles parked on footpath in Kurla People are complaining about this repeatedly.,Illegal Parking
Water supply stopped in Sion,Water Issue
Vehicles stuck near Dadar This is affecting daily life in the area.,Traffic
Vehicles blocking society gate in Navi Mumbai,Illegal Parking
Vehicles parked on footpath in Goregaon This is affecting daily life in the area.,Illegal Parking
No parking rule violation near Powai It is creating safety problems for citizens.,Illegal Parking
Electric box open near Kandivali West,Electricity
Drain cover broken near Goregaon ,Drainage
Power supply problem in Kurla,Electricity
No water supply in Ekta Nagar since morning,Water Issue
Low water pressure in Vasai,Water Issue
Heavy traffic jam near Borivali station Kindly take urgent action.,Traffic
Drain water entering road near Thane It is creating safety problems for citizens.,Drainage
Pipeline burst near Vasai,Water Issue
Low water pressure in Navi Mumbai Residents are facing daily trouble because of this.,Water Issue
Traffic congestion during evening near Mira Road,Traffic
Road damaged after rain in Ekta Nagar,Road Issue
Dark road causing safety issue near Malad West,Street Light
Loudspeaker noise late night near Vasai,Noise Complaint
Waterlogging due to drainage issue near Vasai,Drainage
Uncovered pit near Ekta Nagar,Public Safety
Road damaged after rain in Mira Road Please resolve this issue quickly.,Road Issue
Dark road causing safety issue near Vasai,Street Light
Road surface cracked near Vasai ,Road Issue
Street lamp off since yesterday near Chembur,Street Light
Street lamp off since yesterday near Dahisar,Street Light
Vehicle horn noise near Borivali station,Noise Complaint
Noise disturbance reported in Charkop,Noise Complaint
