complaint,category
Electric box open near Navi Mumbai,Electricity
Bad road condition near Andheri East,Road Issue
Vehicles stuck near Goregaon,Traffic
Vehicles blocking society gate in Goregaon,Illegal Parking
Accident risk due to broken road near Mira Road This is affecting daily life in the area.,Public Safety
Cars blocking road near Thane This problem is happening for many days.,Illegal Parking
Power supply problem in Sion This is affecting daily life in the area.,Electricity
Traffic movement very slow near Ekta Nagar,Traffic
Illegal parking near Dadar,Illegal Parking
Broken railing near Dahisar It is creating safety problems for citizens.,Public Safety
Garbage attracting stray dogs in Bandra It is creating safety problems for citizens.,Garbage
Waterlogging due to drainage issue near Dadar,Drainage
Frequent traffic jam in Chembur,Traffic
Major water leakage near Dadar The situation becomes worse during evening time.,Water Issue
Traffic congestion during evening near Kandivali West It is creating safety problems for citizens.,Traffic
Dangerous spot near Kurla,Public Safety
Garbage not collected in Malad West,Garbage
Road damaged after rain in Borivali station,Road Issue
Vehicles blocking society gate in Mahada Kandivali,Illegal Parking
No water supply in Mahada Kandivali since morning,Water Issue
Long vehicle queue near Ekta Nagar,Traffic
Electric pole damaged near Malad West ,Electricity
Vehicle horn noise near Vasai,Noise Complaint
Vehicles stuck near Thane,Traffic
Street light damaged near Borivali station,Street Light
Waterlogging due to drainage issue near Sion This is affecting daily life in the area.,Drainage
Vehicle horn noise near Sion ,Noise Complaint
Garbage attracting stray dogs in Mahada Kandivali Kindly take urgent action.,Garbage
Frequent power cuts in Borivali station The situation becomes worse during evening time.,Electricity
Water leakage near Kandivali West Residents are facing daily trouble because of this.,Water Issue
Drain cover broken near Thane,Drainage
Water tank overflowing in Navi Mumbai,Water Issue
Voltage fluctuation in Powai,Electricity
Dead animal lying near Dadar Residents are facing daily trouble because of this.,Garbage
Factory noise issue near Sion,Noise Complaint
Street light flickering near Charkop,Street Light
Bad road condition near Dadar,Road Issue
No water supply in Mira Road since morning This problem is happening for many days.,Water Issue
Uncovered pit near Andheri East The situation becomes worse during evening time.,Public Safety
Street light damaged near Dadar,Street Light
Broken road causing accidents near Dahisar,Road Issue
Garbage not collected in Charkop,Garbage
Waste lying near school in Powai ,Garbage
Broken street lamp near Charkop This issue is causing inconvenience to people.,Street Light
Huge pothole near Vasai,Road Issue
Unauthorized parking in Malad West,Illegal Parking
Drain water entering road near Dadar Kindly take urgent action.,Drainage
Loudspeaker noise late night near Andheri East,Noise Complaint
Open drain causing danger near Powai,Drainage
Road repair needed urgently in Bandra,Road Issue
Potholes filled with rainwater near Malad West,Road Issue
Street light damaged near Chembur,Street Light
Power outage in Mulund It is creating safety problems for citizens.,Electricity
Contaminated water reported in Powai ,Water Issue
Noise pollution in Ekta Nagar Residents are facing daily trouble because of this.,Noise Complaint
Parking issue near market in Powai Residents are facing daily trouble because of this.,Illegal Parking
Vehicles stuck near Malad West ,Traffic
Garbage pile causing bad smell near Mira Road,Garbage
Contaminated water reported in Kurla,Water Issue
Signal timing issue at Mahada Kandivali,Traffic
Broken road causing accidents near Mahada Kandivali,Road Issue
Parking issue near market in Powai Kindly take urgent action.,Illegal Parking
High volume sound system near Kurla,Noise Complaint
Risky area without warning sign near Sion It is creating safety problems for citizens.,Public Safety
Garbage pile causing bad smell near Goregaon ,Garbage
Entire lane is dark in Charkop,Street Light
Street electric wire issue in Navi Mumbai This is affecting daily life in the area.,Electricity
Traffic congestion during evening near Mulund,Traffic
Long vehicle queue near Goregaon,Traffic
No parking rule violation near Mahada Kandivali Residents are facing daily trouble because of this.,Illegal Parking
Potholes filled with rainwater near Powai,Road Issue
Potholes filled with rainwater near Charkop Residents are facing daily trouble because of this.,Road Issue
Risky area without warning sign near Borivali station,Public Safety
Drinking water smells bad in Kurla,Water Issue
Traffic congestion during evening near Charkop,Traffic
Unauthorized parking in Kurla This is affecting daily life in the area.,Illegal Parking
Uneven road surface near Bandra It is creating safety problems for citizens.,Road Issue
No lighting in Mulund at night,Street Light
Traffic signal not working at Thane Please resolve this issue quickly.,Traffic
Street electric wire issue in Borivali station,Electricity
Long vehicle queue near Navi Mumbai,Traffic
Water leakage near Powai,Water Issue
Factory noise issue near Vasai Kindly take urgent action.,Noise Complaint
Open manhole causing danger in Mahada Kandivali ,Public Safety
Construction noise disturbing residents in Charkop,Noise Complaint
Street light flickering near Dahisar,Street Light
Blocked gutter causing smell in Mira Road,Drainage
Transformer sparking in Mulund,Electricity
Contaminated water reported in Andheri East,Water Issue
Huge pothole near Dahisar People are complaining about this repeatedly.,Road Issue
Garbage pile causing bad smell near Kandivali West ,Garbage
Factory noise issue near Thane,Noise Complaint
Electric box open near Chembur,Electricity
Damaged public structure near Bandra It is creating safety problems for citizens.,Public Safety
Continuous drilling noise in Ekta Nagar,Noise Complaint
Road repair needed urgently in Mulund ,Road Issue
Unclean surroundings in Dadar The situation becomes worse during evening time.,Garbage
Power supply problem in Navi Mumbai,Electricity
Drain overflowing after rain in Chembur It is creating safety problems for citizens.,Drainage
Risky area without warning sign near Chembur,Public Safety
Pipeline burst near Dadar,Water Issue
Road damaged after rain in Mulund The situation becomes worse during evening time.,Road Issue
Road blocked causing traffic near Goregaon,Traffic
Waste lying near school in Navi Mumbai,Garbage
Frequent power cuts in Mira Road This is affecting daily life in the area.,Electricity
Road blocked due to illegal parking near Andheri East,Illegal Parking
Road surface cracked near Bandra Please resolve this issue quickly.,Road Issue
Uneven road surface near Navi Mumbai Kindly take urgent action.,Road Issue
Electric box open near Vasai,Electricity
Electric pole leaning near Bandra This problem is happening for many days.,Electricity
Road damaged after rain in Thane,Road Issue
Signal timing issue at Ekta Nagar,Traffic
Damaged public structure near Charkop,Public Safety
Unsafe construction site near Mira Road People are complaining about this repeatedly.,Public Safety
Accident risk due to broken road near Sion,Public Safety
Frequent power cuts in Kandivali West,Electricity
Road blocked due to illegal parking near Navi Mumbai,Illegal Parking
Drainage line choked in Kandivali West,Drainage
Vehicles parked on footpath in Charkop Please resolve this issue quickly.,Illegal Parking
Water supply stopped in Ekta Nagar ,Water Issue
Unauthorized parking in Mahada Kandivali ,Illegal Parking
Broken road causing accidents near Powai ,Road Issue
Loud music at night in Malad West This is affecting daily life in the area.,Noise Complaint
Broken road causing accidents near Chembur,Road Issue
Water supply stopped in Borivali station,Water Issue
Drain water entering road near Dadar,Drainage
Water leakage near Chembur Please resolve this issue quickly.,Water Issue
Unauthorized parking in Mahada Kandivali,Illegal Parking
Vehicles parked on footpath in Borivali station,Illegal Parking
Drain water entering road near Dahisar This is affecting daily life in the area.,Drainage
Vehicles blocking society gate in Sion,Illegal Parking
Entire lane is dark in Borivali station,Street Light
Garbage pile causing bad smell near Chembur,Garbage
Broken railing near Malad West Please resolve this issue quickly.,Public Safety
Construction noise disturbing residents in Vasai,Noise Complaint
Garbage attracting stray dogs in Borivali station,Garbage
Contaminated water reported in Mahada Kandivali,Water Issue
No parking rule violation near Goregaon This is affecting daily life in the area.,Illegal Parking
Street lamp off since yesterday near Malad West,Street Light
Illegal parking causing traffic near Sion This issue is causing inconvenience to people.,Illegal Parking
Signal timing issue at Kandivali West,Traffic
Trash scattered near Kandivali West,Garbage
Drinking water smells bad in Kandivali West,Water Issue
Parking issue near market in Powai,Illegal Parking
Improper traffic management at Vasai,Traffic
Street light flickering near Charkop It is creating safety problems for citizens.,Street Light
Illegal parking near Bandra,Illegal Parking
High volume sound system near Charkop,Noise Complaint
Public safety issue reported in Mira Road,Public Safety
Factory noise issue near Goregaon,Noise Complaint
Road cave-in reported at Mira Road,Road Issue
Factory noise issue near Navi Mumbai This problem is happening for many days.,Noise Complaint
Factory noise issue near Charkop,Noise Complaint
Drainage blocked near Malad West It is creating safety problems for citizens.,Drainage
Unauthorized parking in Sion It is creating safety problems for citizens.,Illegal Parking
Loud music at night in Bandra Kindly take urgent action.,Noise Complaint
Drainage line choked in Borivali station,Drainage
Two wheelers parked wrongly in Thane,Illegal Parking
Road damaged after rain in Mahada Kandivali,Road Issue
Illegal parking near Navi Mumbai,Illegal Parking
Potholes filled with rainwater near Sion,Road Issue
Noise pollution in Kurla,Noise Complaint
Cars blocking road near Malad West This issue is causing inconvenience to people.,Illegal Parking
Broken railing near Mira Road,Public Safety
Broken road causing accidents near Vasai,Road Issue
Garbage not collected in Mulund,Garbage
Electric pole damaged near Kurla,Electricity
Potholes filled with rainwater near Chembur Please resolve this issue quickly.,Road Issue
Street light not working near Powai People are complaining about this repeatedly.,Street Light
Dark road causing safety issue near Kurla,Street Light
Pedestrian safety concern in Bandra,Public Safety
Open drain causing danger near Chembur,Drainage
Accident risk due to broken road near Mira Road,Public Safety
Open electric wire hanging near Bandra The situation becomes worse during evening time.,Electricity
Road cave-in reported at Chembur,Road Issue
Water tank overflowing in Charkop,Water Issue
Uneven road surface near Navi Mumbai ,Road Issue
Street lamp off since yesterday near Mira Road Please resolve this issue quickly.,Street Light
Two wheelers parked wrongly in Malad West This is affecting daily life in the area.,Illegal Parking
Dead animal lying near Chembur,Garbage
Street electric wire issue in Dahisar,Electricity
Loudspeaker noise late night near Borivali station,Noise Complaint
Damaged public structure near Borivali station,Public Safety
Water supply stopped in Vasai,Water Issue
Loud music at night in Powai,Noise Complaint
Contaminated water reported in Borivali station People are complaining about this repeatedly.,Water Issue
Light pole issue reported at Vasai,Street Light
Electric pole leaning near Kandivali West The situation becomes worse during evening time.,Electricity
Garbage vehicle not arrived in Mahada Kandivali,Garbage
Traffic movement very slow near Kurla This issue is causing inconvenience to people.,Traffic
Pedestrian safety concern in Bandra,Public Safety
Severe drainage problem in Chembur,Drainage
Electric pole damaged near Chembur,Electricity
Broken railing near Mulund,Public Safety
High volume sound system near Mulund,Noise Complaint
Garbage pile causing bad smell near Dahisar,Garbage
Electric box open near Charkop,Electricity
Garbage pile causing bad smell near Mahada Kandivali,Garbage
No lighting in Powai at night,Street Light
Huge pothole near Mira Road,Road Issue
Broken railing near Kurla,Public Safety
Open electric wire hanging near Kandivali West,Electricity
Continuous drilling noise in Mira Road,Noise Complaint
Open drain causing danger near Vasai,Drainage
Loud music at night in Dadar,Noise Complaint
Street lamp off since yesterday near Mira Road,Street Light
Road cave-in reported at Ekta Nagar,Road Issue
Uneven road surface near Navi Mumbai,Road Issue
Open manhole causing danger in Mulund,Public Safety
Vehicles parked on footpath in Dahisar,Illegal Parking
Unsafe construction site near Sion This issue is causing inconvenience to people.,Public Safety
Electric box open near Goregaon,Electricity
Improper traffic management at Borivali station This is affecting daily life in the area.,Traffic
Dark road causing safety issue near Malad West This is affecting daily life in the area.,Street Light
Traffic signal not working at Kandivali West,Traffic
Main road damaged in Sion,Road Issue
Broken road causing accidents near Andheri East,Road Issue
Noise disturbance reported in Mira Road,Noise Complaint
Electric box open near Dadar,Electricity
Bad road condition near Dadar,Road Issue
Illegal parking near Kurla,Illegal Parking
Road surface cracked near Dadar,Road Issue
Power supply problem in Dahisar This is affecting daily life in the area.,Electricity
Garbage not collected in Borivali station,Garbage
Trash scattered near Vasai Kindly take urgent action.,Garbage
Street light flickering near Kandivali West Kindly take urgent action.,Street Light
Huge pothole near Navi Mumbai,Road Issue
Bad road condition near Navi Mumbai,Road Issue
Waste dumped on roadside in Dahisar,Garbage
Street light flickering near Thane,Street Light
Unclean surroundings in Thane,Garbage
Pole light not functioning at Goregaon This is affecting daily life in the area.,Street Light
Unauthorized parking in Mulund,Illegal Parking
Unsafe construction site near Navi Mumbai,Public Safety
Road blocked due to illegal parking near Mahada Kandivali This issue is causing inconvenience to people.,Illegal Parking
High volume sound system near Goregaon,Noise Complaint
High volume sound system near Malad West Residents are facing daily trouble because of this.,Noise Complaint
Road cave-in reported at Borivali station,Road Issue
Electric box open near Sion,Electricity
Street lamp off since yesterday near Bandra,Street Light
Accident risk due to broken road near Thane This issue is causing inconvenience to people.,Public Safety
Open manhole causing danger in Ekta Nagar,Public Safety
Pedestrian safety concern in Ekta Nagar,Public Safety
Road blocked due to illegal parking near Vasai,Illegal Parking
Dead animal lying near Kandivali West,Garbage
Transformer sparking in Kandivali West,Electricity
Unauthorized parking in Navi Mumbai Please resolve this issue quickly.,Illegal Parking
Public safety issue reported in Mulund,Public Safety
Noise pollution in Vasai The situation becomes worse during evening time.,Noise Complaint
Illegal parking causing traffic near Mulund,Illegal Parking
Transformer sparking in Ekta Nagar It is creating safety problems for citizens.,Electricity
Loudspeaker noise late night near Borivali station,Noise Complaint
Dangerous spot near Goregaon Please resolve this issue quickly.,Public Safety
Signal timing issue at Kandivali West,Traffic
Vehicles blocking society gate in Navi Mumbai This is affecting daily life in the area.,Illegal Parking
Rainwater not draining near Thane The situation becomes worse during evening time.,Drainage
Unclean surroundings in Dahisar,Garbage
Loudspeaker noise late night near Goregaon,Noise Complaint
Pole light not functioning at Mira Road,Street Light
Pole light not functioning at Charkop This problem is happening for many days.,Street Light
Bad road condition near Borivali station This issue is causing inconvenience to people.,Road Issue
Electric pole leaning near Powai,Electricity
Garbage not collected in Thane,Garbage
High volume sound system near Andheri East Please resolve this issue quickly.,Noise Complaint
Open electric wire hanging near Charkop,Electricity
Open electric wire hanging near Kandivali West,Electricity
Road blocked causing traffic near Dadar,Traffic
Vehicles parked on footpath in Sion The situation becomes worse during evening time.,Illegal Parking
Loudspeaker noise late night near Mahada Kandivali The situation becomes worse during evening time.,Noise Complaint
Waste dumped on roadside in Borivali station Please resolve this issue quickly.,Garbage
Risky area without warning sign near Dahisar,Public Safety
Street electric wire issue in Ekta Nagar,Electricity
Road blocked causing traffic near Navi Mumbai,Traffic
Power supply problem in Chembur It is creating safety problems for citizens.,Electricity
Street lamp off since yesterday near Dahisar,Street Light
Continuous drilling noise in Goregaon,Noise Complaint
Open manhole causing danger in Chembur Residents are facing daily trouble because of this.,Public Safety
Traffic movement very slow near Dahisar,Traffic
Unclean surroundings in Powai,Garbage
Damaged public structure near Powai,Public Safety
Street electric wire issue in Borivali station It is creating safety problems for citizens.,Electricity
Power supply problem in Mahada Kandivali,Electricity
Dustbin overflowing near Chembur,Garbage
Vehicles stuck near Bandra,Traffic
Traffic movement very slow near Mira Road This is affecting daily life in the area.,Traffic
Unclean surroundings in Goregaon ,Garbage
Illegal parking near Mulund,Illegal Parking
Loud music at night in Goregaon,Noise Complaint
Street lamp off since yesterday near Sion The situation becomes worse during evening time.,Street Light
Signal timing issue at Dadar,Traffic
Drain cover broken near Kandivali West,Drainage
Electric pole leaning near Dahisar ,Electricity
Vehicles parked on footpath in Mulund It is creating safety problems for citizens.,Illegal Parking
Parking issue near market in Powai,Illegal Parking
Cars blocking road near Charkop,Illegal Parking
Transformer sparking in Kurla,Electricity
Loud music at night in Ekta Nagar,Noise Complaint
Continuous drilling noise in Kandivali West Please resolve this issue quickly.,Noise Complaint
Power outage in Mira Road This is affecting daily life in the area.,Electricity
Noise pollution in Sion,Noise Complaint
Drainage line choked in Kurla,Drainage
Vehicles parked on footpath in Powai This issue is causing inconvenience to people.,Illegal Parking
Waterlogging due to drainage issue near Thane,Drainage
Damaged public structure near Mahada Kandivali,Public Safety
Major water leakage near Ekta Nagar,Water Issue
Waste dumped on roadside in Sion The situation becomes worse during evening time.,Garbage
Power outage in Kurla,Electricity
Road damaged after rain in Mahada Kandivali,Road Issue
Drainage line choked in Kandivali West People are complaining about this repeatedly.,Drainage
Contaminated water reported in Sion,Water Issue
Drainage line choked in Kandivali West,Drainage
Uneven road surface near Chembur,Road Issue
Electric box open near Malad West This is affecting daily life in the area.,Electricity
High volume sound system near Andheri East Please resolve this issue quickly.,Noise Complaint
Continuous drilling noise in Ekta Nagar The situation becomes worse during evening time.,Noise Complaint
Vehicle horn noise near Bandra,Noise Complaint
Vehicles parked on footpath in Chembur,Illegal Parking
Accident risk due to broken road near Mira Road This is affecting daily life in the area.,Public Safety
No water supply in Goregaon since morning,Water Issue
Waterlogging due to drainage issue near Ekta Nagar Kindly take urgent action.,Drainage
Unclean surroundings in Bandra,Garbage
Dangerous spot near Mira Road Kindly take urgent action.,Public Safety
Severe drainage problem in Vasai,Drainage
Power supply problem in Ekta Nagar ,Electricity
Broken street lamp near Mulund ,Street Light
Drain water entering road near Goregaon,Drainage
Construction noise disturbing residents in Kandivali West,Noise Complaint
Garbage vehicle not arrived in Thane This issue is causing inconvenience to people.,Garbage
Signal timing issue at Vasai,Traffic
Unsafe construction site near Goregaon,Public Safety
Long vehicle queue near Malad West,Traffic
Accident risk due to broken road near Mira Road This is affecting daily life in the area.,Public Safety
High volume sound system near Kurla This issue is causing inconvenience to people.,Noise Complaint
Dead animal lying near Kandivali West,Garbage
Pipeline burst near Charkop,Water Issue
Public safety issue reported in Sion,Public Safety
Open electric wire hanging near Goregaon Please resolve this issue quickly.,Electricity
Vehicles parked on footpath in Ekta Nagar,Illegal Parking
Street electric wire issue in Andheri East Please resolve this issue quickly.,Electricity
Unsafe construction site near Bandra,Public Safety
Open drain causing danger near Mahada Kandivali,Drainage
Uncovered pit near Borivali station,Public Safety
Frequent power cuts in Borivali station,Electricity
Major water leakage near Mahada Kandivali,Water Issue
Continuous drilling noise in Mahada Kandivali,Noise Complaint
Public safety issue reported in Bandra The situation becomes worse during evening time.,Public Safety
Rainwater not draining near Bandra,Drainage
No lighting in Powai at night This issue is causing inconvenience to people.,Street Light
Drainage line choked in Chembur,Drainage
Water supply stopped in Chembur,Water Issue
No water supply in Bandra since morning,Water Issue
Dangerous spot near Mulund,Public Safety
High volume sound system near Dadar ,Noise Complaint
Garbage pile causing bad smell near Sion ,Garbage
Huge pothole near Andheri East,Road Issue
No water supply in Thane since morning This issue is causing inconvenience to people.,Water Issue
Noise pollution in Borivali station,Noise Complaint
Garbage vehicle not arrived in Ekta Nagar Please resolve this issue quickly.,Garbage
Street light flickering near Kurla,Street Light
Risky area without warning sign near Dahisar Residents are facing daily trouble because of this.,Public Safety
Vehicles stuck near Thane This is affecting daily life in the area.,Traffic
Unclean surroundings in Vasai,Garbage
Street light damaged near Charkop Kindly take urgent action.,Street Light
Electric box open near Powai,Electricity
Improper traffic management at Andheri East,Traffic
Drain overflowing after rain in Mira Road,Drainage
No lighting in Mira Road at night,Street Light
Road repair needed urgently in Mahada Kandivali,Road Issue
Low water pressure in Ekta Nagar,Water Issue
Pole light not functioning at Andheri East,Street Light
Street electric wire issue in Kandivali West,Electricity
Bad road condition near Thane,Road Issue
Road blocked due to illegal parking near Vasai,Illegal Parking
Drain cover broken near Navi Mumbai,Drainage
Loudspeaker noise late night near Mahada Kandivali,Noise Complaint
Road blocked due to illegal parking near Dadar,Illegal Parking
Water leakage near Charkop,Water Issue
Loudspeaker noise late night near Kandivali West The situation becomes worse during evening time.,Noise Complaint
Pipeline burst near Ekta Nagar,Water Issue
Road cave-in reported at Dahisar,Road Issue
Water supply stopped in Borivali station,Water Issue
Dark road causing safety issue near Mahada Kandivali,Street Light
Frequent traffic jam in Andheri East,Traffic
Main road damaged in Chembur Residents are facing daily trouble because of this.,Road Issue
Open manhole causing danger in Kandivali West Please resolve this issue quickly.,Public Safety
Dustbin overflowing near Ekta Nagar,Garbage
Risky area without warning sign near Navi Mumbai,Public Safety
Drinking water smells bad in Navi Mumbai,Water Issue
Late night event noise in Malad West This is affecting daily life in the area.,Noise Complaint
Traffic signal not working at Bandra,Traffic
Uncovered pit near Dadar Residents are facing daily trouble because of this.,Public Safety
Dangerous spot near Dadar,Public Safety
Broken railing near Sion This issue is causing inconvenience to people.,Public Safety
Dustbin overflowing near Mira Road,Garbage
Accident risk due to broken road near Malad West,Public Safety
Unclean surroundings in Ekta Nagar Kindly take urgent action.,Garbage
Pedestrian safety concern in Dadar,Public Safety
Entire lane is dark in Thane,Street Light
Pole light not functioning at Thane,Street Light
Unauthorized parking in Dadar Residents are facing daily trouble because of this.,Illegal Parking
Noise pollution in Malad West ,Noise Complaint
Continuous drilling noise in Vasai,Noise Complaint
Dustbin overflowing near Borivali station This issue is causing inconvenience to people.,Garbage
Dead animal lying near Sion,Garbage
Huge pothole near Mulund,Road Issue
Severe drainage problem in Andheri East,Drainage
Risky area without warning sign near Borivali station,Public Safety
Dark road causing safety issue near Navi Mumbai,Street Light
Dangerous spot near Borivali station,Public Safety
Street light not working near Mira Road,Street Light
Noise disturbance reported in Sion ,Noise Complaint
Risky area without warning sign near Vasai,Public Safety
Bad road condition near Borivali station,Road Issue
Drain water entering road near Mulund,Drainage
Heavy traffic jam near Chembur,Traffic
Drinking water smells bad in Borivali station,Water Issue
Road blocked due to illegal parking near Powai,Illegal Parking
Vehicles parked on footpath in Malad West,Illegal Parking
Drain cover broken near Powai,Drainage
Water supply stopped in Dadar,Water Issue
Dustbin overflowing near Mulund,Garbage
No water supply in Ekta Nagar since morning,Water Issue
Open manhole causing danger in Navi Mumbai The situation becomes worse during evening time.,Public Safety
Drain cover broken near Dadar,Drainage
Pole light not functioning at Chembur The situation becomes worse during evening time.,Street Light
Entire lane is dark in Kurla The situation becomes worse during evening time.,Street Light
Signal timing issue at Dadar It is creating safety problems for citizens.,Traffic
Water leakage near Mahada Kandivali,Water Issue
Traffic signal not working at Mulund This problem is happening for many days.,Traffic
Late night event noise in Malad West,Noise Complaint
Waterlogging due to drainage issue near Borivali station,Drainage
Road blocked causing traffic near Dadar This issue is causing inconvenience to people.,Traffic
Broken railing near Andheri East,Public Safety
Garbage not collected in Bandra,Garbage
Drinking water smells bad in Goregaon,Water Issue
Road blocked causing traffic near Goregaon Please resolve this issue quickly.,Traffic
Power outage in Dadar Kindly take urgent action.,Electricity
Long vehicle queue near Sion Please resolve this issue quickly.,Traffic
Garbage attracting stray dogs in Goregaon,Garbage
Uneven road surface near Kandivali West Residents are facing daily trouble because of this.,Road Issue
Loud music at night in Mira Road,Noise Complaint
Vehicles parked on footpath in Powai,Illegal Parking
Voltage fluctuation in Kandivali West,Electricity
Loudspeaker noise late night near Dahisar Kindly take urgent action.,Noise Complaint
Street light flickering near Ekta Nagar It is creating safety problems for citizens.,Street Light
Two wheelers parked wrongly in Ekta Nagar,Illegal Parking
Blocked gutter causing smell in Powai,Drainage
Noise pollution in Thane,Noise Complaint
Unclean surroundings in Mira Road,Garbage
Severe drainage problem in Bandra It is creating safety problems for citizens.,Drainage
High volume sound system near Mulund Please resolve this issue quickly.,Noise Complaint
Drain water entering road near Andheri East,Drainage
Street electric wire issue in Kandivali West,Electricity
Uneven road surface near Mulund,Road Issue
Broken railing near Mulund,Public Safety
Electric box open near Chembur This is affecting daily life in the area.,Electricity
Street lamp off since yesterday near Mahada Kandivali This is affecting daily life in the area.,Street Light
Street electric wire issue in Mulund This issue is causing inconvenience to people.,Electricity
Open drain causing danger near Vasai,Drainage
No water supply in Vasai since morning,Water Issue
Street light flickering near Charkop,Street Light
Drain cover broken near Goregaon It is creating safety problems for citizens.,Drainage
Factory noise issue near Borivali station,Noise Complaint
Damaged public structure near Bandra,Public Safety
Dustbin overflowing near Charkop,Garbage
Drinking water smells bad in Navi Mumbai This is affecting daily life in the area.,Water Issue
Signal timing issue at Charkop,Traffic
No lighting in Mira Road at night,Street Light
Bad road condition near Mahada Kandivali This problem is happening for many days.,Road Issue
Waste lying near school in Thane,Garbage
Vehicles parked on footpath in Ekta Nagar,Illegal Parking
Uneven road surface near Sion,Road Issue
Traffic signal not working at Ekta Nagar,Traffic
Continuous drilling noise in Mahada Kandivali,Noise Complaint
Broken street lamp near Andheri East,Street Light
Entire lane is dark in Mahada Kandivali,Street Light
Road blocked causing traffic near Dadar,Traffic
Pedestrian safety concern in Powai Please resolve this issue quickly.,Public Safety
Road blocked causing traffic near Dadar,Traffic
Voltage fluctuation in Powai,Electricity
Potholes filled with rainwater near Kandivali West The situation becomes worse during evening time.,Road Issue
Voltage fluctuation in Andheri East Residents are facing daily trouble because of this.,Electricity
Late night event noise in Mulund,Noise Complaint
Dirty water coming from taps in Vasai Please resolve this issue quickly.,Water Issue
Improper traffic management at Dahisar This is affecting daily life in the area.,Traffic
Low water pressure in Kurla It is creating safety problems for citizens.,Water Issue
Broken street lamp near Ekta Nagar,Street Light
Traffic congestion during evening near Kurla Kindly take urgent action.,Traffic
Garbage not collected in Navi Mumbai,Garbage
Entire lane is dark in Powai This is affecting daily life in the area.,Street Light
Broken road causing accidents near Charkop The situation becomes worse during evening time.,Road Issue
Electric pole damaged near Chembur,Electricity
Drinking water smells bad in Kandivali West,Water Issue
Damaged public structure near Powai This issue is causing inconvenience to people.,Public Safety
Water leakage near Mira Road,Water Issue
Main road damaged in Malad West People are complaining about this repeatedly.,Road Issue
Garbage attracting stray dogs in Malad West,Garbage
High volume sound system near Thane This problem is happening for many days.,Noise Complaint
Dark road causing safety issue near Thane,Street Light
Broken road causing accidents near Kurla,Road Issue
